case_id;activity;timestamp
1;1st recipe submitted;2022-09-04 14:01:31.746981
1;revision;2022-09-04 14:09:42.474719
1;second recipe submitted;2022-09-04 14:25:32.108391
1;third recipe submitted;2022-09-04 14:43:38.306892
1;revision;2022-09-04 14:48:49.568420
2;1st recipe submitted;2022-09-04 08:25:33.749181
2;second recipe submitted;2022-09-04 08:48:22.939280
2;third recipe submitted;2022-09-04 08:57:11.509818
3;1st recipe submitted;2022-09-04 06:03:50.361959
3;revision;2022-09-04 06:44:42.647998
3;second recipe submitted;2022-09-04 06:55:18.132912
3;third recipe submitted;2022-09-04 06:57:07.581104
3;revision;2022-09-04 07:04:19.949896
4;1st recipe submitted;2022-09-04 07:23:26.323936
4;revision;2022-09-04 07:43:17.565043
4;second recipe submitted;2022-09-04 08:04:52.621001
4;revision;2022-09-04 08:07:56.304317
4;third recipe submitted;2022-09-04 08:17:28.674740
4;revision;2022-09-04 08:19:46.246438
4;revision;2022-09-04 08:20:06.871117
5;1st recipe submitted;2022-09-04 09:36:05.826685
5;revision;2022-09-04 09:44:13.072517
5;revision;2022-09-04 09:45:39.363280
5;second recipe submitted;2022-09-04 10:00:49.253098
5;third recipe submitted;2022-09-04 10:17:48.572241
6;1st recipe submitted;2022-09-04 03:49:54.304400
6;revision;2022-09-04 03:51:18.258758
6;revision;2022-09-04 03:52:20.656404
6;revision;2022-09-04 03:53:08.046578
6;revision;2022-09-04 03:55:57.515901
6;second recipe submitted;2022-09-04 04:05:12.931100
6;third recipe submitted;2022-09-04 04:17:07.267260
6;revision;2022-09-04 04:20:02.368085
7;1st recipe submitted;2022-09-04 01:20:48.179561
7;revision;2022-09-04 01:25:18.927146
7;second recipe submitted;2022-09-04 01:30:16.662336
7;revision;2022-09-04 01:31:53.482790
7;third recipe submitted;2022-09-04 01:36:59.663998
7;revision;2022-09-04 01:38:24.988956
8;1st recipe submitted;2022-09-04 13:33:46.486989
9;1st recipe submitted;2022-09-04 04:15:33.876120
9;revision;2022-09-04 04:20:19.467851
9;second recipe submitted;2022-09-04 04:36:21.349864
9;revision;2022-09-04 04:37:46.733099
9;third recipe submitted;2022-09-04 05:29:51.442090
9;revision;2022-09-04 05:31:16.715296
10;1st recipe submitted;2022-09-04 08:09:58.270115
10;revision;2022-09-04 08:12:52.958410
10;revision;2022-09-04 08:13:45.360808
10;second recipe submitted;2022-09-04 08:21:37.991883
10;revision;2022-09-04 08:22:11.565724
10;third recipe submitted;2022-09-04 08:29:54.245482
10;third recipe submitted;2022-09-04 08:35:19.248773
10;revision;2022-09-04 08:36:25.152556
10;third recipe submitted;2022-09-04 08:41:44.866269
10;revision;2022-09-04 08:42:26.942137
11;1st recipe submitted;2022-09-04 02:43:17.378140
11;revision;2022-09-04 02:47:20.044445
11;revision;2022-09-04 02:47:43.126831
11;second recipe submitted;2022-09-04 02:52:19.400055
11;revision;2022-09-04 02:53:50.990674
11;third recipe submitted;2022-09-04 03:06:41.287345
11;revision;2022-09-04 03:10:44.726411
12;1st recipe submitted;2022-09-04 04:25:34.326088
12;revision;2022-09-04 04:31:11.554436
12;second recipe submitted;2022-09-04 04:45:18.700905
12;revision;2022-09-04 04:48:20.647095
12;third recipe submitted;2022-09-04 04:58:03.840626
12;revision;2022-09-04 05:01:38.477267
13;1st recipe submitted;2022-09-04 10:29:06.822589
13;revision;2022-09-04 10:32:01.180489
13;second recipe submitted;2022-09-04 10:44:51.593276
13;revision;2022-09-04 10:46:31.717206
13;third recipe submitted;2022-09-04 10:55:08.630877
13;revision;2022-09-04 10:57:02.271155
14;1st recipe submitted;2022-09-04 11:23:02.939905
14;revision;2022-09-04 11:25:52.137270
14;second recipe submitted;2022-09-04 11:33:24.865434
14;revision;2022-09-04 11:36:04.621009
14;third recipe submitted;2022-09-04 11:37:10.484718
15;1st recipe submitted;2022-09-04 07:25:45.742113
15;revision;2022-09-04 07:28:05.335848
15;second recipe submitted;2022-09-04 07:31:33.911037
15;revision;2022-09-04 07:35:24.596200
15;revision;2022-09-04 07:37:06.295854
15;third recipe submitted;2022-09-04 07:46:11.549770
15;revision;2022-09-04 07:48:50.951163
16;1st recipe submitted;2022-09-04 03:51:29.526660
16;second recipe submitted;2022-09-04 03:56:00.784238
16;revision;2022-09-04 03:57:14.255727
16;third recipe submitted;2022-09-04 04:01:39.917021
17;1st recipe submitted;2022-09-04 03:32:35.191936
17;revision;2022-09-04 03:40:59.935212
17;second recipe submitted;2022-09-04 03:57:47.921462
17;revision;2022-09-04 03:58:34.197522
17;revision;2022-09-04 03:59:15.446435
17;revision;2022-09-04 04:03:31.013803
17;third recipe submitted;2022-09-04 04:15:43.628009
18;1st recipe submitted;2022-09-04 09:17:39.765070
18;revision;2022-09-04 09:20:56.995618
18;second recipe submitted;2022-09-04 09:25:43.626663
18;revision;2022-09-04 09:28:06.196117
18;third recipe submitted;2022-09-04 09:34:25.531907
18;revision;2022-09-04 09:36:56.418143
19;1st recipe submitted;2022-09-04 08:37:13.311822
19;revision;2022-09-04 08:40:06.086397
19;second recipe submitted;2022-09-04 08:47:10.701650
19;revision;2022-09-04 08:48:56.156053
19;third recipe submitted;2022-09-04 08:54:57.209258
19;revision;2022-09-04 08:56:20.927646
20;1st recipe submitted;2022-09-04 10:36:23.851172
20;second recipe submitted;2022-09-04 10:44:10.483902
20;revision;2022-09-04 10:45:29.765673
20;third recipe submitted;2022-09-04 10:54:43.878508
21;1st recipe submitted;2022-09-04 11:31:35.280837
21;revision;2022-09-04 11:32:46.925337
21;second recipe submitted;2022-09-04 11:39:52.725276
21;third recipe submitted;2022-09-04 11:45:54.954468
21;revision;2022-09-04 11:46:20.174521
22;1st recipe submitted;2022-09-04 07:21:58.378265
22;revision;2022-09-04 07:25:30.022756
22;revision;2022-09-04 07:26:40.531491
22;revision;2022-09-04 07:27:17.905615
22;revision;2022-09-04 07:27:44.913294
22;second recipe submitted;2022-09-04 07:36:28.697776
22;revision;2022-09-04 07:38:19.409773
