case_id;activity;timestamp
1;1st recipe submitted;2022-09-04 14:01:31.746981
2;revision;2022-09-04 14:09:42.474719
3;second recipe submitted;2022-09-04 14:25:32.108391
4;third recipe submitted;2022-09-04 14:43:38.306892
5;revision;2022-09-04 14:48:49.568420
6;1st recipe submitted;2022-09-04 08:25:33.749181
7;second recipe submitted;2022-09-04 08:48:22.939280
8;third recipe submitted;2022-09-04 08:57:11.509818
9;1st recipe submitted;2022-09-04 06:03:50.361959
10;revision;2022-09-04 06:44:42.647998
11;second recipe submitted;2022-09-04 06:55:18.132912
12;third recipe submitted;2022-09-04 06:57:07.581104
13;revision;2022-09-04 07:04:19.949896
