case_id;activity;timestamp
1;1st recipe submitted;2022-09-04 08:01:31.600757
1;second recipe submitted;2022-09-04 08:11:37.578457
1;revision;2022-09-04 08:12:57.861869
1;third recipe submitted;2022-09-04 08:16:56.055953
1;revision;2022-09-04 08:17:59.788241
2;1st recipe submitted;2022-09-04 08:46:50.865826
2;revision;2022-09-04 08:48:46.158482
2;second recipe submitted;2022-09-04 08:52:24.614438
2;third recipe submitted;2022-09-04 08:58:01.982003
3;1st recipe submitted;2022-09-04 11:27:28.628421
3;revision;2022-09-04 11:35:45.416989
3;second recipe submitted;2022-09-04 11:44:45.883323
3;third recipe submitted;2022-09-04 11:57:54.714531
3;revision;2022-09-04 11:59:31.162661
4;1st recipe submitted;2022-09-04 11:54:37.509521
4;revision;2022-09-04 11:56:10.797089
4;second recipe submitted;2022-09-04 12:15:51.834068
4;revision;2022-09-04 12:16:42.757125
4;third recipe submitted;2022-09-04 12:21:29.895401
4;revision;2022-09-04 12:22:55.823836
5;1st recipe submitted;2022-09-04 12:27:25.039572
5;revision;2022-09-04 12:31:49.692041
5;second recipe submitted;2022-09-04 12:41:40.343672
5;revision;2022-09-04 12:45:12.527090
5;third recipe submitted;2022-09-04 12:53:58.107589
5;revision;2022-09-04 12:57:06.954121
6;1st recipe submitted;2022-09-04 03:34:56.880239
6;revision;2022-09-04 03:39:26.729303
6;second recipe submitted;2022-09-04 03:47:59.350111
6;revision;2022-09-04 03:52:02.931863
6;third recipe submitted;2022-09-04 03:59:02.653932
6;revision;2022-09-04 04:01:37.374436
7;1st recipe submitted;2022-09-04 09:42:45.399013
7;revision;2022-09-04 09:45:13.555519
7;second recipe submitted;2022-09-04 09:51:14.836874
7;revision;2022-09-04 09:53:05.592394
7;third recipe submitted;2022-09-04 09:59:15.710562
8;1st recipe submitted;2022-09-04 08:36:18.712448
8;revision;2022-09-04 08:41:53.488149
8;second recipe submitted;2022-09-04 08:51:52.434917
8;third recipe submitted;2022-09-04 08:59:07.702232
8;revision;2022-09-04 09:00:32.079199
9;1st recipe submitted;2022-09-04 05:13:59.543713
9;second recipe submitted;2022-09-04 05:22:47.585669
9;third recipe submitted;2022-09-04 05:29:50.775418
9;revision;2022-09-04 05:31:43.094113
10;1st recipe submitted;2022-09-04 02:12:02.592343
10;revision;2022-09-04 02:15:09.858432
10;second recipe submitted;2022-09-04 02:29:02.601860
10;third recipe submitted;2022-09-04 02:55:33.487311
11;1st recipe submitted;2022-09-04 07:02:35.228860
11;revision;2022-09-04 07:08:42.560375
11;second recipe submitted;2022-09-04 07:15:12.403055
11;revision;2022-09-04 07:17:27.531757
11;third recipe submitted;2022-09-04 07:24:47.293694
11;revision;2022-09-04 07:30:21.433697
12;1st recipe submitted;2022-09-04 08:36:41.837991
12;second recipe submitted;2022-09-04 08:43:17.352986
12;third recipe submitted;2022-09-04 08:51:38.027652
13;1st recipe submitted;2022-09-04 10:51:20.791822
13;revision;2022-09-04 10:53:14.874077
13;second recipe submitted;2022-09-04 10:55:41.637528
13;revision;2022-09-04 10:59:02.270466
13;third recipe submitted;2022-09-04 11:04:14.628188
13;revision;2022-09-04 11:05:46.239800
14;1st recipe submitted;2022-09-04 02:59:40.235058
14;revision;2022-09-04 03:01:18.949645
14;revision;2022-09-04 03:02:35.092393
14;second recipe submitted;2022-09-04 03:09:27.388121
14;revision;2022-09-04 03:11:03.869391
14;third recipe submitted;2022-09-04 03:18:04.133545
14;revision;2022-09-04 03:19:48.274100
15;1st recipe submitted;2022-09-04 10:00:06.255437
15;revision;2022-09-04 10:05:25.230543
15;second recipe submitted;2022-09-04 10:14:06.594391
15;revision;2022-09-04 10:16:26.255770
15;third recipe submitted;2022-09-04 10:25:32.614491
15;revision;2022-09-04 10:28:34.981620
16;1st recipe submitted;2022-09-04 08:18:07.423025
16;revision;2022-09-04 08:23:53.508225
16;second recipe submitted;2022-09-04 08:40:33.134128
16;revision;2022-09-04 08:45:25.587050
16;third recipe submitted;2022-09-04 08:54:07.354980
16;revision;2022-09-04 08:57:48.011163
17;1st recipe submitted;2022-09-04 10:07:56.981843
17;second recipe submitted;2022-09-04 10:26:20.058373
17;revision;2022-09-04 10:29:36.287866
17;third recipe submitted;2022-09-04 10:42:12.503677
17;revision;2022-09-04 10:46:24.457167
18;1st recipe submitted;2022-09-04 08:59:11.671701
18;revision;2022-09-04 08:59:46.201944
18;second recipe submitted;2022-09-04 09:11:11.237054
18;revision;2022-09-04 09:12:52.352598
18;third recipe submitted;2022-09-04 09:23:18.728196
19;1st recipe submitted;2022-09-04 07:01:09.899800
19;revision;2022-09-04 07:05:10.354408
19;revision;2022-09-04 07:08:01.202339
19;revision;2022-09-04 07:12:15.762416
19;second recipe submitted;2022-09-04 07:23:08.607762
19;revision;2022-09-04 07:24:24.244494
19;third recipe submitted;2022-09-04 07:41:25.003656
19;revision;2022-09-04 07:44:24.291646
19;revision;2022-09-04 08:00:57.931504
20;1st recipe submitted;2022-09-04 12:52:38.450858
20;second recipe submitted;2022-09-04 13:01:15.812427
20;revision;2022-09-04 13:03:02.108270
20;third recipe submitted;2022-09-04 13:15:45.040544
20;revision;2022-09-04 13:19:58.409451
21;1st recipe submitted;2022-09-04 08:41:17.631177
21;second recipe submitted;2022-09-04 08:47:13.439835
21;revision;2022-09-04 08:53:29.879193
21;third recipe submitted;2022-09-04 09:08:34.087412
21;revision;2022-09-04 09:11:38.707061
22;1st recipe submitted;2022-09-04 09:34:34.491021
22;second recipe submitted;2022-09-04 09:41:51.846863
22;third recipe submitted;2022-09-04 09:49:43.322013
22;third recipe submitted;2022-09-04 09:56:13.451200
22;third recipe submitted;2022-09-04 10:00:34.663162
23;1st recipe submitted;2022-09-04 03:05:03.550293
23;second recipe submitted;2022-09-04 03:08:28.263547
23;third recipe submitted;2022-09-04 03:10:20.278729
24;1st recipe submitted;2022-09-04 03:27:32.758121
24;second recipe submitted;2022-09-04 03:43:33.083482
24;revision;2022-09-04 03:45:19.177030
24;third recipe submitted;2022-09-04 03:54:25.675728
24;revision;2022-09-04 03:56:00.599876
25;1st recipe submitted;2022-09-04 12:09:05.128830
25;revision;2022-09-04 12:14:44.371970
25;second recipe submitted;2022-09-04 12:20:52.989597
25;revision;2022-09-04 12:22:40.680893
25;third recipe submitted;2022-09-04 12:28:06.875169
25;revision;2022-09-04 12:29:22.827531
25;third recipe submitted;2022-09-04 12:35:13.168712
25;revision;2022-09-04 12:37:00.912993
25;third recipe submitted;2022-09-04 12:41:03.673407
25;revision;2022-09-04 12:42:29.049449
26;1st recipe submitted;2022-09-04 12:36:03.470670
26;second recipe submitted;2022-09-04 12:42:36.297847
26;third recipe submitted;2022-09-04 12:52:44.237579
27;1st recipe submitted;2022-09-04 09:48:36.508778
