case_id;activity;timestamp
1;1st recipe submitted;2022-09-04 07:23:26.323936
1;revision;2022-09-04 07:43:17.565043
1;second recipe submitted;2022-09-04 08:04:52.621001
1;revision;2022-09-04 08:07:56.304317
1;third recipe submitted;2022-09-04 08:17:28.674740
1;revision;2022-09-04 08:19:46.246438
1;revision;2022-09-04 08:20:06.871117
2;1st recipe submitted;2022-09-04 01:20:48.179561
2;revision;2022-09-04 01:25:18.927146
2;second recipe submitted;2022-09-04 01:30:16.662336
2;revision;2022-09-04 01:31:53.482790
2;third recipe submitted;2022-09-04 01:36:59.663998
2;revision;2022-09-04 01:38:24.988956
3;1st recipe submitted;2022-09-04 04:15:33.876120
3;revision;2022-09-04 04:20:19.467851
3;second recipe submitted;2022-09-04 04:36:21.349864
3;revision;2022-09-04 04:37:46.733099
3;third recipe submitted;2022-09-04 05:29:51.442090
3;revision;2022-09-04 05:31:16.715296
4;1st recipe submitted;2022-09-04 02:43:17.378140
4;revision;2022-09-04 02:47:20.044445
4;revision;2022-09-04 02:47:43.126831
4;second recipe submitted;2022-09-04 02:52:19.400055
4;revision;2022-09-04 02:53:50.990674
4;third recipe submitted;2022-09-04 03:06:41.287345
4;revision;2022-09-04 03:10:44.726411
5;1st recipe submitted;2022-09-04 04:25:34.326088
5;revision;2022-09-04 04:31:11.554436
5;second recipe submitted;2022-09-04 04:45:18.700905
5;revision;2022-09-04 04:48:20.647095
5;third recipe submitted;2022-09-04 04:58:03.840626
5;revision;2022-09-04 05:01:38.477267
6;1st recipe submitted;2022-09-04 10:29:06.822589
6;revision;2022-09-04 10:32:01.180489
6;second recipe submitted;2022-09-04 10:44:51.593276
6;revision;2022-09-04 10:46:31.717206
6;third recipe submitted;2022-09-04 10:55:08.630877
6;revision;2022-09-04 10:57:02.271155
7;1st recipe submitted;2022-09-04 07:25:45.742113
7;revision;2022-09-04 07:28:05.335848
7;second recipe submitted;2022-09-04 07:31:33.911037
7;revision;2022-09-04 07:35:24.596200
7;revision;2022-09-04 07:37:06.295854
7;third recipe submitted;2022-09-04 07:46:11.549770
7;revision;2022-09-04 07:48:50.951163
8;1st recipe submitted;2022-09-04 09:17:39.765070
8;revision;2022-09-04 09:20:56.995618
8;second recipe submitted;2022-09-04 09:25:43.626663
8;revision;2022-09-04 09:28:06.196117
8;third recipe submitted;2022-09-04 09:34:25.531907
8;revision;2022-09-04 09:36:56.418143
9;1st recipe submitted;2022-09-04 08:37:13.311822
9;revision;2022-09-04 08:40:06.086397
9;second recipe submitted;2022-09-04 08:47:10.701650
9;revision;2022-09-04 08:48:56.156053
9;third recipe submitted;2022-09-04 08:54:57.209258
9;revision;2022-09-04 08:56:20.927646
10;1st recipe submitted;2022-09-04 10:24:23.533057
10;revision;2022-09-04 10:30:54.967308
10;second recipe submitted;2022-09-04 10:43:23.849132
10;revision;2022-09-04 10:44:48.570612
10;third recipe submitted;2022-09-04 11:06:25.053072
10;revision;2022-09-04 11:08:08.957502
10;revision;2022-09-04 11:08:37.615589
11;1st recipe submitted;2022-09-04 06:13:05.812132
11;revision;2022-09-04 06:14:58.186117
11;second recipe submitted;2022-09-04 06:24:04.941258
11;revision;2022-09-04 06:30:47.679759
11;third recipe submitted;2022-09-04 06:42:57.413241
11;revision;2022-09-04 06:44:27.332898
12;1st recipe submitted;2022-09-04 09:34:14.927640
12;revision;2022-09-04 09:41:28.271362
12;revision;2022-09-04 09:49:37.253298
12;revision;2022-09-04 09:51:12.679034
12;revision;2022-09-04 09:51:38.461727
12;revision;2022-09-04 09:52:28.425069
12;second recipe submitted;2022-09-04 10:10:13.786655
12;revision;2022-09-04 10:13:24.409221
12;third recipe submitted;2022-09-04 10:21:43.657620
12;revision;2022-09-04 10:22:32.168974
12;revision;2022-09-04 10:22:45.307952
12;revision;2022-09-04 10:23:04.512574
13;1st recipe submitted;2022-09-04 04:48:04.187150
13;revision;2022-09-04 04:50:08.194689
13;revision;2022-09-04 04:50:20.102605
13;second recipe submitted;2022-09-04 05:04:02.230461
13;revision;2022-09-04 05:04:39.687979
13;third recipe submitted;2022-09-04 05:20:00.509435
13;revision;2022-09-04 05:21:08.621211
14;1st recipe submitted;2022-09-04 10:27:38.312775
14;revision;2022-09-04 10:43:02.963951
14;second recipe submitted;2022-09-04 10:53:30.518101
14;revision;2022-09-04 10:58:33.532867
14;third recipe submitted;2022-09-04 11:07:51.793547
14;revision;2022-09-04 11:08:41.957454
15;1st recipe submitted;2022-09-04 10:46:52.549528
15;revision;2022-09-04 10:48:44.201805
15;revision;2022-09-04 10:50:44.875091
15;second recipe submitted;2022-09-04 11:08:55.742380
15;revision;2022-09-04 11:09:29.717031
15;third recipe submitted;2022-09-04 11:27:46.346891
15;revision;2022-09-04 11:29:57.321704
15;revision;2022-09-04 11:30:40.173312
16;1st recipe submitted;2022-09-04 06:32:10.912875
16;revision;2022-09-04 06:40:38.727750
16;second recipe submitted;2022-09-04 06:58:59.032026
16;revision;2022-09-04 07:06:54.889951
16;third recipe submitted;2022-09-04 07:24:43.806509
16;revision;2022-09-04 07:32:29.195597
